user;id;date;text
godbooseoksoon;1,64E+18;30/03/2023 22.45;"kek banyak banget orang join komunitas atau yang lagi hot sekarang, mbkm, cuma sekedar mau dapet sertif dan uang saku

ga salah sih, tapi ya uang lo dapet ya sekedar sertif dan uang saku, pas ditanya disana ngapain aja bingung, cuma jadi babu print perusahaan"
infrasync;1,64E+18;25/03/2023 12.19;@worksfess mbkm bukannya ada uang saku ya?
wtermelonsgar_;1,64E+18;24/03/2023 19.07;Mendingan ikut program di mbkm. Dapet sertif, uang saku, sama biaya ukt ??
NaradipaAkbar;1,63E+18;08/03/2023 18.32;@UGM_FESS Lagian mbkm sebagian dikasih uang saku, beda sama beberapa organisasi yang setiap kali mereka bikin event lu sebagai panitia harus ngeluarin duit lumayan atau disuruh jualan sama upload story pp. Secara kebermanfaatan mbkm kadang lebih menarik dibanding organisasi
NaradipaAkbar;1,63E+18;08/03/2023 18.30;@UGM_FESS Emang ga boleh ya kalo mahasiswa milih jadi agak kapitalis? Tapi sebenernya alasan lain dari mulai lebih ramenya mbkm dibanding organisasi ya karena ujung2nya organisasi malah ngabisin banyak uang dan cenderung exposurenya lebih banyak masuk ke ketua organisasi
SmgMenfess;1,63E+18;05/03/2023 15.29;Ndes disini ada yang pernah ikut program MBKM? dapet uang saku nggak?
mediocre_people;1,63E+18;03/03/2023 11.16;Gue ada beberapa temen yang ikutan salah satu program MBKM yaitu PMM, nah mereka semua mengeluhkan hal yang sama yaitu telatnya uang untuk biaya hidup turun. Telatnya bukan sehari dua hari, tapi sampe berbulan-bulan. Jadi ujungnya mereka harus nalangin dulu uang buat idup di sana
Reswara_;1,63E+18;02/03/2023 18.53;@UNSfess_ Cari parttime nder, magang atau ikut MBKM aja sekalian yg bisa hasilin uang. Semangat ya sender! ?
wuusyu;1,63E+18;27/02/2023 10.54;@inrchd SMP, aku dari SMP udah jualan2, jadi reseller baju topi sepatu, gtu2. Lumayan banget buat jajan, terus jugaa ikut lomba2 alhamdulillah dapet uang juga ?? berlanjut jualan sampee SMA walaupun jualannya ganti2. Pertama kali dapet gaji yang gede kemarin sih pas ikut program mbkm
minwonddal;1,63E+18;26/02/2023 13.18;@everyoneyoo_n @caratstalk aku ikut penelitian sama dosen, lumayan buat uang jajan ?? atau klo kampus kamu support mbkm, coba ikut magang bersertifikat, beberapa program bakal ngasi uang saku
bobaaayy_;1,63E+18;26/02/2023 00.29;AKU TAU UANG MBKM BUAT APA
reeya_permadi22;1,63E+18;25/02/2023 05.34;@um_fess aku ikut mbkm kemendikbud kampus mengajar, emg ngarajarnya di mlg plosok sih, aku kedapetan di sumawe, sedangkan dr rmhku 60km, tapi sama sklh di sediakan rmh di sana, jadi aku stay disana 5 bln, selama 5 bln itu tiap bln dikasih uang 1,2/bln sm kemendikbud dan 2,4 utk ptgn ukt
himesaka__;1,63E+18;21/02/2023 10.11;"@YUPIEN_FESS PKM enak kalo lolos pimnas ada keringanan skripsi 
MSIB dan MBKM mitra (sesuai passion) enak ada pengalaman (+ada uang saku) 

lah enak2 hidup tenang di yupien malah ikut MBKM mitra yang ga sesuai passion. Hebatnya ga ada .. anu lah"
yisizonedx;1,63E+18;19/02/2023 23.21;@collegemenfess Berdasarkan real case yg ada di kampus sekarang, mahasiswa lebih milih ikut kegiatan yg benefitnya tuh kerasa langsung buat dia kyk ikut volunteer, magang, apalagi dgn adanya si MBKM yg programnya seabrek. Emang sih cape tapi kan bisa konversi sks sama menang uang saku juga
seungcheers;1,63E+18;19/02/2023 18.14;esensi dari program kerja yang dijalanin. proker juga harus bisa adaptif sama perkembangan dunia perkuliahan. coba lihat, mahasiswa ramai ikut program MBKM yang return nya lebih jelas (secara uang, skala pencapaian). dan kenapa organisasi internal jadi kehilangan citra?
moonebul4;1,63E+18;19/02/2023 18.04;@collegemenfess dari gue sih karena skrg ada mbkm yang hasilnya real. lo dapet uang, lo dapet pengalaman, lo dapet relasi. kalau kinerja lo bagus di tempat magang, bisa ada peluang lo bisa kerja setelah lulus disitu. kalau di bem udah capek tenaga malah ngeluarin uang jg wkwkw
awgusss;1,63E+18;19/02/2023 16.45;@collegemenfess benefitnya kurang jelas apalagi masalah rapat yang molor trus bisa sampe pagi dah gitu nombokin uang acara kadang ?? trus sekarang banyak yg milih mbkm kl ga parttime yg jelas menghasilkan pengalaman dan cuan sksksksk ??
syarifyusufe;1,63E+18;19/02/2023 15.52;"@collegemenfess 1. program MBKM lebih menarik dan skill yang diperoleh pun jelas, belum lagi dapet uang saku
2. prokernya gitu2 aja, paling mentok ya ngadain konser. itu BEM atau EO? mending ikut EO sekalian malah dapet duit
3. nepotisme"
RememberCuy;1,63E+18;15/02/2023 23.42;@collegemenfess Mau nambahin lagi nder bisa jg ikut MBKM setauku klo lolos dapet uang dan opsi terakhir joki tugas
FutureNYou;1,62E+18;12/02/2023 21.14;Ini rill woyy... Apalagi sejak ada program mbkm, udah dapet uang+pengalaman+bisa dikonversi
aygaluh_;1,62E+18;12/02/2023 19.35;@collegemenfess iya memang, semangat berorganisasi semakin menurun. apalagi skrg program mbkm bagus2 dan dapet uang jugaa. jadi lebih menguntungkan. (imo)
ksjkyo;1,62E+18;12/02/2023 19.00;@storyofalfin Hai kak, sorry ga sengaja baca. Mau tanya, kakak itu ambil mbkm (stupen) di Maribelajar kah? itu ada uang sakunyaa kak?
mipan_zuzuzuuu;1,62E+18;11/02/2023 18.20;"@burhanchedid Ka kalau magang mbkm di paragon dapet uang saku tambahan dari paragon ga ya? Atau yg dari kemdikbud ajaa?? 
Btw PID itu direktorat apa kakk?"
FirmaMayangsari;1,62E+18;07/02/2023 12.17;"@ipb_menfess punten derr relate ga
Mending ikut pengabdian, mbkm, volunteer, dapet sertifikat uang jalan daripada organisasi event² ujung²nya gorengannya bu, sandwichnya kak.

Siapa ya?"
